ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
3783	0	0	BOGOTA	MANUFACTURA	C	3114736	2584575	13
3784	0	0	ANTIOQUIA	COMERCIO	C	5718009	8592104	13
3785	2	0	SANTANDER	TRANSPORTE	C	1259188	645863	1
3786	0	1	ANTIOQUIA	CONSTRUCCION	C	8101889	16265997	1
3787	4	0	SANTANDER	MANUFACTURA	C	552432	454547	6
3788	1	1	VALLE	COMERCIO	C	142303	909899	1
3789	5	0	ANTIOQUIA	SERVICIOS	C	26252	19162	1
3790	4	0	ATLANTICO	SERVICIOS	C	4792852	3957116	1
3791	4	0	VALLE	CONSTRUCCION	C	1104675	1074315	1
3792	1	0	BOGOTA	SERVICIOS	C	1209180	2926073	52
3793	3	0	VALLE	SERVICIOS	C	3865302	2826983	2
3794	0	0	BOGOTA	SERVICIOS	C	12166746	8677570	10
3795	0	0	CUNDINAMARCA	AGROPECUARIO	C	3444144	2853923	30
3796	1	0	BOGOTA	MANUFACTURA	C	9679251	8894171	20
3797	2	1	SANTANDER	CONSTRUCCION	C	11340	41763	1
3798	1	0	BOGOTA	COMERCIO	C	6446476	3764461	18
3799	1	0	VALLE	COMERCIO	C	9418919	13666816	14
3800	3	0	BOGOTA	COMERCIO	C	2879039	2510418	4
3801	2	1	VALLE	SERVICIOS	C	1119169	1897310	1
3802	1	1	BOGOTA	COMERCIO	B	36512829	35052516	1
3803	3	0	TOLIMA	MANUFACTURA	C	909310	869042	24
3804	0	0	ARAUCA	COMERCIO	C	336910	520410	2
3805	2	0	BOGOTA	SERVICIOS	C	4728039	5884424	0
3806	5	0	BOGOTA	COMERCIO	C	666999	364032	14
3807	6	0	ANTIOQUIA	COMERCIO	C	13761328	13125957	216
3808	0	0	VALLE	SERVICIOS	C	1749473250	1075560692	13
3809	1	0	CUNDINAMARCA	COMERCIO	B	23632100	28568135	1
3810	0	0	ATLANTICO	TRANSPORTE	C	5123115	4097464	16
3811	7	0	BOGOTA	MANUFACTURA	C	535692	509768	0
3812	3	0	ANTIOQUIA	SERVICIOS	C	1941730	1570913	220
3813	1	0	ANTIOQUIA	COMERCIO	C	133822	321903	3
3814	4	0	SANTANDER	SERVICIOS	C	442902	677600	6
3815	0	0	CUNDINAMARCA	MANUFACTURA	B	15945241	13459009	5
3816	1	0	ATLANTICO	CONSTRUCCION	C	5704625	3729923	3
3817	3	0	BOGOTA	CONSTRUCCION	A	41067097	42662693	5
3818	1	0	N_SANTANDER	CONSTRUCCION	B	27233264	27716018	1
3819	2	1	BOGOTA	CONSTRUCCION	C	101700	1009292	1
3820	2	0	BOGOTA	SERVICIOS	C	10378104	8272831	74
3821	6	0	ANTIOQUIA	MANUFACTURA	C	3013753	2929087	43
3822	1	0	BOGOTA	CONSTRUCCION	C	5962780	4610213	4
3823	4	0	VALLE	SERVICIOS	C	1244993	659826	11
3824	6	0	VALLE	SERVICIOS	C	11782087	5045556	75
3825	5	0	BOGOTA	CONSTRUCCION	B	13037689	11244590	1
3826	0	0	TOLIMA	COMERCIO	B	15940068	12588220	1
3827	0	1	VALLE	COMERCIO	C	36310	184366	1
3828	4	0	RISARALDA	SERVICIOS	C	9996995	599999	1
3829	7	0	TOLIMA	MANUFACTURA	C	5016463	4933864	131
3830	7	0	TOLIMA	MANUFACTURA	C	624775	416167	25
3831	2	0	ATLANTICO	SERVICIOS	C	4241746	3765667	43
3832	2	0	SANTANDER	SERVICIOS	C	2113112	4411994	1
3833	0	1	ATLANTICO	TRANSPORTE	C	14433	11252	0
3834	3	0	MAGDALENA	SERVICIOS	C	985903	900983	0
3835	1	0	SANTANDER	SERVICIOS	C	6462804	4209079	0
3836	4	0	CUNDINAMARCA	CONSTRUCCION	C	2550819	1303591	0
3837	1	0	TOLIMA	AGROPECUARIO	B	16611004	14431187	15
3838	2	0	CESAR	COMERCIO	C	3461300	1739749	0
3839	2	0	VALLE	SERVICIOS	C	15917948	14477252	161
3840	1	0	CORDOBA	SERVICIOS	C	1209652	1156334	1
3841	1	0	BOGOTA	CONSTRUCCION	B	18676115	17701237	1
3842	5	1	BOGOTA	MANUFACTURA	C	3739070	3828290	0
3843	3	0	SANTANDER	MANUFACTURA	C	802714	744859	0
3844	2	0	BOGOTA	COMERCIO	C	4234661	4063319	1
3845	6	0	ANTIOQUIA	CONSTRUCCION	C	3220921	3013922	0
